,Unnamed: 0,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,time_diff,isWillingToWalk,numberOfPassengers
36696,98212,2016-03-10 14:19:13,2016-03-10 15:22:09,1,28260.0104,-73.78181457519531,40.644691467285156,-73.9859848022461,40.755775451660156,62.93333333333333,0,1
36697,8834107,2016-03-10 14:19:18,2016-03-10 15:25:39,2,28968.12,-73.78182220458984,40.647377014160156,-73.98223876953125,40.76145553588867,66.35,1,2
36698,8834149,2016-03-10 14:19:34,2016-03-10 15:37:42,1,29611.856,-73.77731323242188,40.64656448364258,-73.9855728149414,40.761417388916016,78.13333333333334,1,2
36699,8834179,2016-03-10 14:19:44,2016-03-10 15:44:32,1,27036.912,-73.7768325805664,40.64555740356445,-74.0086898803711,40.70562362670898,84.8,1,2
36700,98341,2016-03-10 14:19:59,2016-03-10 15:16:19,1,29145.1474,-73.77678680419923,40.64534378051758,-73.97653198242188,40.733585357666016,56.33333333333334,0,1
36701,8834270,2016-03-10 14:20:21,2016-03-10 15:09:11,6,29611.856,-73.78615570068358,40.6423454284668,-73.97803497314453,40.72552108764648,48.83333333333334,1,2
36702,98427,2016-03-10 14:20:31,2016-03-10 15:29:13,5,29901.537199999995,-73.78237915039062,40.64466857910156,-73.98040771484375,40.76408386230469,68.7,0,2
36703,98448,2016-03-10 14:20:36,2016-03-10 15:23:01,2,30014.190999999995,-73.78209686279298,40.644691467285156,-73.98294067382812,40.73247909545898,62.41666666666666,0,2
36704,8834334,2016-03-10 14:20:46,2016-03-10 15:19:50,1,27036.912,-73.79175567626955,40.64494323730469,-73.97415924072266,40.75849533081055,59.06666666666667,0,2
36705,8834336,2016-03-10 14:20:47,2016-03-10 15:27:53,2,30255.592,-73.782470703125,40.64461898803711,-73.98487091064453,40.75950622558594,67.1,0,2
36706,98479,2016-03-10 14:20:48,2016-03-10 15:11:06,5,27809.3952,-73.78970336914062,40.64360046386719,-73.97918701171875,40.74884033203125,50.3,1,2
36707,8834399,2016-03-10 14:21:12,2016-03-10 15:21:23,3,29129.054,-73.7819061279297,40.644813537597656,-73.98329162597656,40.731781005859375,60.18333333333333,1,2
36708,98592,2016-03-10 14:21:22,2016-03-10 15:23:05,2,30545.2732,-73.78726959228516,40.64162063598633,-73.97789001464844,40.76470947265625,61.71666666666667,0,1
36709,98618,2016-03-10 14:21:30,2016-03-10 15:26:49,4,28823.2794,-73.78788757324219,40.64190673828125,-73.98851013183594,40.758934020996094,65.31666666666666,1,2
36710,98644,2016-03-10 14:21:37,2016-03-10 15:28:08,1,34826.1176,-73.79032897949219,40.64393997192383,-73.97972869873048,40.78396987915039,66.51666666666667,0,2
36711,98647,2016-03-10 14:21:38,2016-03-10 15:21:59,2,30094.658,-73.78205108642578,40.644832611083984,-73.98690032958984,40.72103118896485,60.35,1,2
36712,8834492,2016-03-10 14:21:43,2016-03-10 15:20:48,1,29772.79,-73.78240966796875,40.6446418762207,-73.9888687133789,40.73684692382813,59.08333333333334,1,2
36713,8834527,2016-03-10 14:21:53,2016-03-10 15:21:41,2,26715.043999999998,-73.79003143310547,40.64695739746094,-73.98573303222656,40.75255584716797,59.8,0,1
36714,98689,2016-03-10 14:21:53,2016-03-10 15:14:11,1,32492.5746,-73.78229522705078,40.64474868774415,-73.96649169921875,40.802581787109375,52.3,1,1
36715,98726,2016-03-10 14:22:08,2016-03-10 15:14:22,1,28630.1586,-73.7820587158203,40.644752502441406,-73.98857879638672,40.73645782470703,52.23333333333333,1,2
36716,98798,2016-03-10 14:22:29,2016-03-10 15:19:05,5,34970.9582,-73.7890625,40.64236068725585,-73.98996734619139,40.71410369873047,56.6,1,1
36717,98820,2016-03-10 14:22:37,2016-03-10 15:11:03,2,28903.7464,-73.788818359375,40.64144134521485,-73.9888916015625,40.7397689819336,48.43333333333333,0,2
36718,98823,2016-03-10 14:22:38,2016-03-10 15:19:21,1,30303.872199999994,-73.78245544433594,40.64463806152344,-74.00224304199219,40.742183685302734,56.71666666666667,1,2
36719,98897,2016-03-10 14:22:57,2016-03-10 15:04:45,1,27680.648,-73.78937530517578,40.64342498779297,-73.9754867553711,40.74785614013672,41.8,0,2
36720,98899,2016-03-10 14:22:58,2016-03-10 15:19:28,4,28839.3728,-73.78173828125,40.64485168457031,-73.99140930175781,40.74589157104492,56.5,1,1
36721,98914,2016-03-10 14:23:03,2016-03-10 15:27:36,2,28919.8398,-73.78443145751955,40.64862060546875,-73.99239349365234,40.74943542480469,64.55,0,2
36722,8834717,2016-03-10 14:23:03,2016-03-10 15:21:34,1,28485.318,-73.78992462158203,40.645652770996094,-73.9924087524414,40.73090744018555,58.51666666666666,1,2
36723,8834721,2016-03-10 14:23:04,2016-03-10 15:19:26,4,28485.318,-73.77865600585938,40.64668273925781,-73.99078369140625,40.7485580444336,56.36666666666667,1,1
36724,8834797,2016-03-10 14:23:26,2016-03-10 15:50:43,2,28646.252,-73.7820053100586,40.64473342895508,-73.98778533935547,40.75952911376953,87.28333333333332,0,1
36725,8834843,2016-03-10 14:23:41,2016-03-10 16:02:40,2,28163.45,-73.78670501708984,40.65302658081055,-73.98140716552734,40.76071166992188,98.98333333333332,1,1
36726,8834854,2016-03-10 14:23:46,2016-03-10 15:28:50,1,30416.525999999994,-73.78233337402342,40.644676208496094,-74.00435638427734,40.74237060546875,65.06666666666666,0,1
36727,8834868,2016-03-10 14:23:51,2016-03-10 15:18:44,1,31543.064,-73.78241729736328,40.64455795288085,-73.96086120605469,40.775840759277344,54.88333333333333,0,2
36728,99112,2016-03-10 14:24:09,2016-03-10 15:18:45,1,30674.0204,-73.78256225585938,40.64455032348633,-73.99591827392578,40.7264518737793,54.6,0,1
36729,8834938,2016-03-10 14:24:23,2016-03-10 15:18:25,2,28163.45,-73.78022766113281,40.645755767822266,-73.97000122070312,40.7568359375,54.03333333333333,1,1
36730,99177,2016-03-10 14:24:31,2016-03-10 15:17:58,1,27632.3678,-73.78439331054686,40.64863967895508,-73.97503662109375,40.75357055664063,53.45,1,2
36731,8834973,2016-03-10 14:24:33,2016-03-10 15:31:25,2,31060.262000000002,-73.7826156616211,40.64446258544922,-73.99735260009766,40.72206115722656,66.86666666666666,0,2
36732,8834983,2016-03-10 14:24:36,2016-03-10 15:24:45,2,27519.714,-73.78121185302734,40.64666366577149,-73.98430633544923,40.74955368041992,60.15,0,1
36733,8834994,2016-03-10 14:24:41,2016-03-10 15:35:42,2,28163.45,-73.79010009765625,40.646949768066406,-73.99578094482422,40.7592887878418,71.01666666666667,1,1
36734,8835015,2016-03-10 14:24:53,2016-03-10 15:24:00,4,32991.47,-73.78284454345702,40.64680099487305,-73.97379302978516,40.78300857543945,59.11666666666667,1,2
36735,8835045,2016-03-10 14:25:01,2016-03-10 15:31:35,2,29450.922000000002,-73.777099609375,40.64632034301758,-73.9859390258789,40.75834655761719,66.56666666666666,0,1
36736,99301,2016-03-10 14:25:11,2016-03-10 15:42:23,1,26409.2694,-73.79121398925781,40.6616325378418,-73.98494720458984,40.76031112670898,77.2,0,1
36737,8835121,2016-03-10 14:25:31,2016-03-10 15:41:00,2,28968.12,-73.7822265625,40.64690780639648,-73.98971557617188,40.758953094482415,75.48333333333333,0,2
36738,8835134,2016-03-10 14:25:35,2016-03-10 15:41:37,2,29450.922000000002,-73.78264617919923,40.64474868774415,-73.98265075683594,40.76130676269531,76.03333333333333,1,2
36739,99366,2016-03-10 14:25:37,2016-03-10 15:25:59,2,32894.9096,-73.79005432128906,40.64673614501953,-73.97532653808595,40.78204727172852,60.36666666666667,1,1
36740,8835213,2016-03-10 14:26:08,2016-03-10 15:12:47,2,26393.176,-73.7835235595703,40.64883041381836,-73.97832489013672,40.748451232910156,46.65,0,2
36741,99508,2016-03-10 14:26:26,2016-03-10 15:26:34,5,27423.1536,-73.78214263916014,40.64468765258789,-73.9742202758789,40.751014709472656,60.13333333333333,0,1
36742,8835254,2016-03-10 14:26:27,2016-03-10 15:17:18,2,33796.14,-73.77689361572266,40.64614868164063,-73.93777465820312,40.84510803222656,50.85,1,1
36743,99596,2016-03-10 14:26:55,2016-03-10 15:24:34,1,29241.7078,-73.78936767578125,40.64257049560547,-73.97078704833984,40.76166534423828,57.65,0,1
36744,160538,2016-03-10 14:27:44,2016-03-10 15:57:24,5,30545.2732,-73.78224182128906,40.64459228515625,-73.98481750488281,40.76873016357422,89.66666666666669,1,1
36745,160572,2016-03-10 14:27:55,2016-03-10 15:41:55,1,28227.8236,-73.78160858154298,40.64485168457031,-73.98303985595702,40.75661087036133,74.0,0,2
36746,8835502,2016-03-10 14:27:58,2016-03-10 15:17:57,4,27680.648,-73.78935241699219,40.643272399902344,-73.97415924072266,40.749671936035156,49.98333333333333,0,2
36747,160594,2016-03-10 14:28:02,2016-03-10 14:38:00,1,28839.3728,-73.78186798095702,40.64467239379883,-73.97505187988281,40.7524528503418,9.966666666666667,0,2
36748,160595,2016-03-10 14:28:02,2016-03-10 15:37:04,3,29515.2956,-73.781982421875,40.64474105834961,-73.98298645019531,40.76034164428711,69.03333333333333,0,2
36749,160611,2016-03-10 14:28:09,2016-03-10 15:39:52,6,26715.043999999998,-73.7901611328125,40.643798828125,-74.00798034667969,40.70772171020508,71.71666666666667,0,2
36750,160617,2016-03-10 14:28:12,2016-03-10 15:27:34,2,28131.2632,-73.77857971191406,40.64670944213867,-73.98883056640625,40.74517822265625,59.36666666666667,0,2
